identifier,text,fr,es-ES,es-419,de,it,ja,ko,pl,pt-PT,pt-BR,ru,tr,zh-CN,zh-TW
RESULTS_MEDAL_DEV,You got a Secret Ace medal!,,,,,,,,,,,,,,
RESULTS_MEDAL_EMERALD,You got an Emerald medal!,,¡Tienes una medalla de esmeralda!,¡Tienes una medalla de esmeralda!,Du hast eine Smaragd-Medaille erhalten!,,エメラルドメダルを入手！,,Zdobywasz Szamargowy medal!!,,Você recebeu uma medalha de Esmeralda!,,,,
RESULTS_MEDAL_AMETHYST,You got an Amethyst medal!,,¡Tienes una medalla de amatista!,¡Tienes una medalla de amatista!,Du hast eine Amethyst-Medaille erhalten!,,アメジストメダルを入手！,,Zdobywasz Ametystowy medal!!,,Você recebeu uma medalha de Ametista!,,,,
RESULTS_MEDAL_SAPPHIRE,You got a Sapphire medal!,,¡Tienes una medalla de zafiro!,¡Tienes una medalla de zafiro!,Du hast eine Saphir-Medaille erhalten!,,サファイアメダルを入手！,,Zodbywasz Szafirowy medal!!,,Você recebeu uma medalha de Safira!,,,,
RESULTS_MEDAL_MODDED_INSIGHT,Modded medals unlock Insight level 4,,Medallas de NeonLite conseguida y desbloqueado el nivel de conocimiento 4,Medallas de NeonLite conseguida y desbloqueado el nivel de conocimiento 4,NeonLite Medaillien schalten Einsichtslevel 4 frei,,ネオンライトメダルでインサイトレベル4をアンロック,,Zmodyfikowane medale odblokowują poziom 4 Wiedzy,,As medalhas do NeonLite desbloqueiam o Nível de Insight 4,,,,
RESULTS_NEWBEST_WR,World Record!,,,,,,,,,,,,,,
BUTTON_COPYPBS,Copy All PB Times,,Copiar Mis Tiempos,Copiar Mis Tiempos,Kopiere deine PB - Zeiten,,全レベルの自己ベストタイムをコピーする,,Skopiuj swoje najlepsze wyniki,,Copiar Todos os PBs,,,,
BUTTON_COPIED,Copied!,,¡Copiado!,¡Copiado!,Kopiert,,コピーしました！,,Skopiowano!,,Copiados!,,,,
BUTTON_GHOSTDIRECTORY,Open Ghost Directory,,Abrir Ubicación del Fantasma,Abrir Ubicación del Fantasma,Öffne Ghost Ordner,,Ghostフォルダを開く,,Otwórz katalog z duchami,,Abrir Diretório de Fantasmas,,,,
DNF,DNF: {0},,,,,,,,,,,,,,
INFO_ATTEMPTS_TOTAL,Total Attempts: {0},,Intentos totales: {0},Intentos totales: {0},Gesamt Versuche: {0},,,,Wszystkie próby: {0},,Tentativas Totais: {0},,,,
INFO_ATTEMPTS_THIS,Attempts: {0}/{1},,Intentos: {0}/{1},Intentos: {0}/{1},Versuche: {0}/{1},,,,Próby: {0}/{1},,Tentativas: {0}/{1},,,,
INFO_ATTEMPTS_THIS_NC,Attempts: {1},,Intentos: {1},Intentos: {1},Versuche: {1},,,,Próby:  {1},,Tentativas: {1},,,,
INFO_SESSIONPB,SessionPB: {0},,,,,,,,,,,,,,
SPEEDOMETER_VELOCITY,Velocity: {0},,Velocidad: {0},,Geschwindigkeit: {0},,,,Predkosc: {0},,Velocidade: {0},,,,
SPEEDOMETER_YVEL,Y: {0},,,,,,,,,,,,,,
SPEEDOMETER_SWAP,Swap Timer: {0},,Temporizador de Cambio: {0},,Tausch Zeit: {0},,,,Licznik zamiany: {0},,Cronômetro de Troca: {0},,,,
SPEEDOMETER_COYOTE,Coyote Timer: {0},,Temporizador de Coyote: {0},,Coyote Zeit: {0},,,,Licznik Coyote: {0},,Cronômetro de Coiote: {0},,,,
SPEEDOMETER_LATERAL,Lateral: {0},,,,Geschwindigkeit: {0},,,,Predkosc: {0},,,,,,
AUTOGLOBAL_NOTICE,"You have the auto-update global setting on, which automatically updates your global when you PB. Would you like to turn it off?<br><b>This message will only appear once.</b><br>(You can also turn it off at any time in the usual settings menu.)",,,,,,自動更新グローバル設定がオンになっており、PB 時にグローバルが自動的に更新されます。オフにしますか?<br><b>このメッセージは 1 回だけ表示されます。</b><br>(通常の設定メニューでいつでもオフにすることもできます)。,,,,,,,,
REBIND_CONTROL_START,Level Start,,,,,,,,,,,,,,
LEVELINFO_TIME_PREVIOUS,Previous Run Time,,,,,,,,,,,,,,
RUSHTIMER_TIMELEFT,Rush pause time left: {0}:{1:D2},,,,,,,,,,,,,,
SETTING_MEDALS,Medals,,Medallas,Medallas,Medaillien,,メダル,,Medale,,Medalhas,,,,
SETTING_MEDALS_COMMEDALS_T,Community Medals,,Medallas de la Comunidad,Medallas de la Comunidad,Community Medaillien,,コミュニティメダル,,Medale społeczeńości,,Medalhas da Comunidade,,,,
SETTING_MEDALS_COMMEDALS_D,Shows new community medals past the developer red times to aim for.,,Muestra nuevas medallas de la comunidad más allá de los tiempos rojos de desarrollador.,Muestra nuevas medallas de la comunidad más allá de los tiempos rojos de desarrollador.,"Zeigt Community Medaillien an, die besser als die Entwickler roten Medaillien sind",,開発者のタイム(レッドメダル)を超えたコミニティメダル(エメラルド、アメジスト、サファイア)タイムを表示しますか？,,"Pokazuje medale społeczeności, trudniejsze od czerwonych czasów developerskich",,,,,,
SETTING_MEDALS_HUESHIFT_T,Hue Shift,,Cambio de tono,Cambio de tono,Farbtonverschiebung,,メダルの色の変更,,Zmiana oddcienia,,Mudança de Matiz,,,,
SETTING_MEDALS_HUESHIFT_D,Changes the hue of *all* medals (and related) help aid colorblind users in telling them apart.,,Cambia la matiz de *todas* las medallas (y parecidos) para ayudar a usuarios con daltonismo a diferenciarlas,Cambia la matiz de *todas* las medallas (y parecidos) para ayudar a usuarios con daltonismo a diferenciarlas,Verändert die Farben der Community Medaillien für Personen mit Farbenblindheit,,色弱の人が色を識別しやすいように、メダルの色相を調整します。,,Zmienia odcień *wszystkich* medali (i powiązanych ikon) żeby łatwiej było je rozróżnić dla daltonistów. ,,Muda o matiz de *todas* as medalhas (e afins) para ajudar usuários daltônicos a diferenciá-las.,,,,
SETTING_MEDALS_OLDSTYLE_T,Stamp Style,,Estilo de estampilla,Estilo de estampilla,Stempel Medaillen,,スタンプスタイル,,Styl stempla,,Estilo de Carimbo,,,,
SETTING_MEDALS_OLDSTYLE_D,Display the community medals in the level info as it was pre-3.0.0.,,Mostrar las medallas de comunidad en la información del nivel como se mostraban pre-3.0.0.,Mostrar las medallas de comunidad en la información del nivel como se mostraban pre-3.0.0.,Stellt die Community Medaillien als Stempel dar,,チェックを付けると、Neon Lite 3.0以降の表示方法で各コミュニティメダルタイムを確認できます。<br>チェックを外すと、Neon Lite pre-3.0以前の表示方法にします。,,Wyświetla medale społeczności na te przed wersją 3.0.0,,Mostra as medalhas da comunidade nas informações da fase como era pré-3.0.0.,,,,
SETTING_MEDALS_OVERRIDEURL_T,Extension URL,,,,,,,,Link do rozszerzenia,,,,,,
SETTING_MEDALS_OVERRIDEURL_D,Specifies additional community medals JSON URLs to apply on top of the eisting community medals.,,,,,,,,,,,,,,
SETTING_VFX,VFX,,Efectos visuales,Efectos visuales,,,視覚効果,,Efekty wizualne,,Efeitos Visuais (VFX),,,,
SETTING_VFX_NOFIREBALL_T,Disable fireball screen effect,,Desactivar efecto en la pantalla de Bola de Fuego,Desactivar efecto en la pantalla de Bola de Fuego,Feurball Effekte,,ファイアボール(Fireball),,Wyłącz efekt wizualny fireball'a,,Desabilitar efeito de tela da bola de fogo,,,,
SETTING_VFX_NOFIREBALL_D,Disables the red outline from fireball.,,Desactiva el delineado rojo de Bola de Fuego,Desactiva el delineado rojo de Bola de Fuego,Schaltet Feuerball Effekte aus,,ファイアボール使用時の赤い集中線エフェクト表示を無効にします。,,Wyłącza czerwony zarys z fireball'a.,,Desabilita o contorno vermelho da bola de fogo.,,,,
SETTING_VFX_NOREFLECTIONS_T,Disable reflection,,Desactivar reflejos,Desactivar reflejos,Reflektionen,,光の反射,,Wyłącz odbicie,,Desabilitar refleão,,,,
SETTING_VFX_NOREFLECTIONS_D,Disable the reflection glares that appear in levels.<br>(Requires restart to re-enable.),,Desactiva los destellos en reflejos que aparecen en niveles.<br>(Requiere reinicio para activar.),Desactiva los destellos en reflejos que aparecen en niveles.<br>(Requiere reinicio para activar.),Schaltet Reflektionen aus <br>(Starte neu um wieder zu aktivieren),,光の反射を無効にします。 <br>※再度有効にするにはゲームの再起動が必要です。,,Wyłącza oślepiające odbicia pojawiające sie na poziomach. (Wymaga ponownego włączenia gry),,,,,,
SETTING_VFX_NOBLOOM_T,Disable bloom,,Desactivar resplandor,Desactivar resplandor,Bloom Effekt,,ブルーム効果,,Wyłącz bloom,,,,,,
SETTING_VFX_NOBLOOM_D,Disable the bloom effect.<br>(Requires restart to re-enable.),,Desactiva el efecto resplandeciente.<br>(Requiere reinicio para activar.),Desactiva el efecto resplandeciente.<br>(Requiere reinicio para activar.),Schaltet Bloom aus <br>(Starte neu um wieder zu aktivieren),,ブルーム効果(光があふれ出ているような効果)を無効にします。 <br>※再度有効にするには再起動が必要です。,,Wyłącza efekt bloom. (Wymaga ponownego włączenia gry),,,,,,
SETTING_VFX_NOSUN_T,Disable sun,,Desactivar sol,Desactivar sol,Sonne,,太陽,,Wyłącz słońce,,Desabilitar sol,,,,
SETTING_VFX_NOSUN_D,Disable the bright sun that appears in most levels.<br>(Requires restart to re-enable.),,Desactivar el sol brillante que aparece en varios niveles.<br>(Requiere reinicio para activar.),Desactivar el sol brillante que aparece en varios niveles.<br>(Requiere reinicio para activar.),Schaltet die Sonne aus <br>(Starte neu um wieder zu aktivieren),,レベル内の太陽を削除します。 <br>※再度有効にするには再起動が必要です。,,Wyłącza jasne słońce które pojawia sie na większości poziomów. (Wymaga ponownego włączenia gry),,,,,,
SETTING_VFX_NOSTOMP_T,Disable stomp splashbang,,,,Stampfen Blendung,,ストンプ(Stomp),,Wyłącz efekt wizualny stompa,,,,,,
SETTING_VFX_NOSTOMP_D,Disable the white flash and eplosion that appear when you land a stomp.,,,,Schalte das weiße Overlay der Stampfen Karte aus,,ストンプ使用時の衝撃波エフェクトを無効にします。,,Wyłącza biały błysk i wybuch który pojawia się po użyciu stompa,,,,,,
SETTING_VFX_NOENVVFX_T,Disable additional environment FX,,,,,,その他環境エフェクト,,Wyłącz dodatkowe efekty otoczenia,,,,,,
SETTING_VFX_NOENVVFX_D,"Disables stuff like chapter 11 lightning, and possibly other stuff.",,,,,,11章「脆くも重きもの」レベル内の稲妻や、その他エフェクトを無効にします。,,Wyłącza efekty takie jak pioruny w rozdziale 11 oraz inne rzeczy.,,"Desabilita coisas como relâmpagos do capítulo 11, e possivelmente outras coisas.",,,,
SETTING_VFX_NOBOOF_T,Disable Book of Life overlay,,Desactivar capa del Libro de la Vida,Desactivar capa del Libro de la Vida,Buch des Lebens Overlay ausschalten,,命の書のページ(Book of Life),,,,,,,,
SETTING_VFX_NOBOOF_D,Disable the red diamond border from Book of Life.,,Desactiva el borde rojo del Libro de la Vida.,Desactiva el borde rojo del Libro de la Vida.,Rote Umrandung des Buch des Lebens ausschalten,,命の書のページ使用時に表示されるひし形のエフェクトを無効にします。,,,,Desabilita a borda losangular vermelha do Livro da Vida.,,,,
SETTING_VFX_NOSHOCKER_T,Disable shocker overlay,,Desactivar capa de Espantosos,Desactivar capa de Espantosos,Schocker Overlay,,ショッカー,,Wyłącz efekt wizualny szokera,,,,,,
SETTING_VFX_NOSHOCKER_D,"Disable the white flash from shockers, including the eplosion.",,Desactiva el destello de los espantosos (¡no la eplosión!),Desactiva el destello de los espantosos (¡no la eplosión!),Schaltet das weiße Overlay von Schockern aus,,ショッカー(花びら型デーモン)の花びらを踏んだ時に表示される爆発エフェクトを無効にします。,,Wyłącza biały błysk z szokera.,,,,,,
SETTING_OPTIMIZATION,Optimization,,,,,,最適化,,,,,,,,
SETTING_OPTIMIZATION_CACHEGHOSTS_T,Cache Ghosts,,Almacenamiento Caché de Fantasmas,Almacenamiento Caché de Fantasmas,,,プレイヤーゴーストのキャッシュ,,,,,,,,
SETTING_OPTIMIZATION_CACHEGHOSTS_D,Caches the ghosts so they don't have to reload every restart.<br>Disable if you're messing with ghosts manually.,,Almacena en caché a los fantasmas para que no tengan que ser recargados en cada reseteo.,Almacena en caché a los fantasmas para que no tengan que ser recargados en cada reseteo.,Cached die Ghost Datei damit sie nicht jedes mal neugeladen werden muss,,プレイヤーゴーストを自動でキャッシュするので、再起動するたびに再ロードする必要がなくなります。<br>手動で操作する場合はチェックを外してください。,,,,,,,,
SETTING_OPTIMIZATION_FAKELOADING_T,Loading optimizations,,Optimización de Cargas,Optimización de Cargas,Lade Optimierungen,,ローディング画面の最適化,,,,Otimizações de carregamento,,,,
SETTING_OPTIMIZATION_FAKELOADING_D,Forces the game to not wait on loading screens.<br>Disable if you have weird menu issues.,,Fuerza al juego a no esperar en pantallas de carga.<br>Desactivar si tienes errores etraños en los menús.,Fuerza al juego a no esperar en pantallas de carga.<br>Desactivar si tienes errores etraños en los menús.,"Schaltet aus, dass das Spiel auf Ladebildschirmen wartet",,ローディング中のウェイトタイムを減らします<br>※メニューに問題が発生した場合はチェックを外してください。,,,,Força o jogo a não esperar nas telas de carregamento.<br>Desabilite se você tiver problemas de menu esquisitos.,,,,
SETTING_OPTIMIZATION_FASTSTART_T,Fast Startup,,Inicio Acelerado,Inicio Acelerado,Schnelles Hochfahren,,高速スタートアップ,,,,,,,,
SETTING_OPTIMIZATION_FASTSTART_D,Preloads essential scenes before the game even initializes to speed up the menu load.,,Precarga escenas esenciales antes de que el juego inicie para acelerar cargas de menús.,Precarga escenas esenciales antes de que el juego inicie para acelerar cargas de menús.,Läd wichtige Scene vor für besser Hochfahrzeiten,,ゲームの初期化前に重要なシーンを先にロードして、メニューの読み込みを高速化します。,,,,Pré-carrega cenas essenciais antes mesmo do jogo inicializar para acelerar o carregamento do menu.,,,,
SETTING_OPTIMIZATION_SUPERRESTART_T,Quick Restart,,,,,,クイックリスタート,,,,,,,,
SETTING_OPTIMIZATION_SUPERRESTART_D,Completely overrides the level loading routine on restart to be faster.,,,,,,レベルをリスタートするとき、画面の暗転時間を最小限にします。,,,,,,,,
SETTING_OPTIMIZATION_NOSTAGINGSR_T,Skip Staging Screen,,,,,,ステージングスクリーンのスキップ,,,,,,,,
SETTING_OPTIMIZATION_NOSTAGINGSR_D,Skips the staging screen while using Quick Restart.,,,,,,クイックリスタート設定をオンにしているとき、レベルリスタート時にステージングスクリーンを表示せず、即座にレベルを開始します。<br>※ステージングスクリーン(Staging Screen)は、レベル情報とリーダーボードが表示される画面です。,,,,,,,,
SETTING_OPTIMIZATION_PAUSESTAGINGSR_T,Pause Restarts to Staging,,,,,,,,,,,,,,
SETTING_OPTIMIZATION_GCTIMERSR_T,Restarts to call GC,,,,,,,,,,,,,,
SETTING_OPTIMIZATION_MEMTIMERSR_T,Restarts to call Resource cleanup,,,,,,,,,,,,,,
SETTING_OPTIMIZATION_USESCREENSHOTSR_T,Minimize Flashing,,,,,,リスタート中の画面点滅の抑制,,,,,,,,
SETTING_OPTIMIZATION_USESCREENSHOTSR_D,Use a screenshot of the stage to minimize flashing while using Quick Restart.,,,,,,クイックリスタート設定をオンにしているとき、リスタート中の画面の点滅を最小限に抑えます。,,,,,,,,
SETTING_OPTIMIZATION_UPDATEGLOBAL_T,Auto-update Global,,,,,,グローバル・ネオンランキングの自動更新,,,,Auto-atualizar Global,,,,
SETTING_OPTIMIZATION_UPDATEGLOBAL_D,Updates your Global Neon Rank the instant you PB a stage.,,,,,,各レベルで自己ベストを更新したとき、グローバル・ネオンランキングを即座に反映します。<br>※通常は信奉者の公園からグローバル・ネオンランキングを選択したときにランキングが更新されます。,,,,Atualiza sua Classificação Global no instante que você melhora seu tempo numa fase.,,,,
SETTING_MISC,Misc,,Misceláneo,Misceláneo,Sonstiges,,未分類,,,,,,,,
SETTING_MISC_ANTICHEATON_T,Force Anticheat,,,,,,,,,,,,,,
SETTING_MISC_AMBIENCEOFF_T,Ambience Remover,,Eliminar Ambiente,Eliminar Ambiente,Hintergrundgeräusche,,環境音の無効化,,,,Removedor de Ambiência,,,,
SETTING_MISC_AMBIENCEOFF_D,"Removes the ambience from the game, even when muted.",,"Quita el ruido de ambiente, incluso silenciado.","Quita el ruido de ambiente, incluso silenciado.",Schaltet alle Hintergrundgeräusche aus,,ゲーム内で流れる環境音(風の音等)を全てミュートします。<br>※チェックを外した場合は、ゲーム再起動後に設定が適用されます。,,,,"Remove sons de ambiência do jogo, até quando mutado.",,,,
SETTING_MISC_BOSSGHOSTS_T,Ghosts Everywhere,,Fantasmas en Todos Lados,Fantasmas en Todos Lados,Ghost Knöpfe,,すべてのレベルでプレイヤーゴーストを表示,,,,Fantasmas em Todo Lugar,,,,
SETTING_MISC_BOSSGHOSTS_D,"Allows you to record, playback, and toggle ghosts for every level.",,"Permite grabar, utilizar y activar fantasmas para todo nivel.","Permite grabar, utilizar y activar fantasmas para todo nivel.",Erlaubt die überall dein Ghost ein-/ auszuschalten,,プレイヤーゴーストを使用できないボス戦等、全てのレベルでプレイヤーゴーストを表示/記録/保存します。,,,,,,,,
SETTING_MISC_RUSHSEED_T,Level Rush Seed,,Seed Para Carrera de Niveles,Seed Para Carrera de Niveles,Levelrausch Seed,,レベルラッシュのシード値(Level Rush Seed),,,,,,,,
SETTING_MISC_RUSHSEED_D,Negative is random.,,Negativo es aleatorio.,Negativo es aleatorio.,Gebe eine negative Zahl ein für zufälligen Seed,,マイナス値はランダムシードです。,,,,Negativo é aleatório.,,,,
SETTING_MISC_CHEATERS_T,Cheater Banlist,,Lista de Bans de Tramposos,Lista de Bans de Tramposos,Cheater Markierung,,チーターBANリスト,,,,Lista de Trapaceiros Banidos,,,,
SETTING_MISC_CHEATERS_D,Highlights known cheaters as red on the leaderboard.,,Destaca en rojo tramposos conocidos en los leaderboards. ,Destaca en rojo tramposos conocidos en los leaderboards. ,Markiert Cheater rot auf der Bestenliste,,リーダーボードにて、過去に不正行為を行った人の名前を赤色で表示します。,,,,Destaca em vermelho os nomes de trapaceiros conhecidos nos placares.,,,,
SETTING_MISC_INSIGHTOFF_T,Skip Insight Screen,,Saltar Pantalla de Conocimiento,Saltar Pantalla de Conocimiento,Einsicht Screen,,インサイト・クリスタル取得表示スキップ,,,,Pular Tela de Insight,,,,
SETTING_MISC_INSIGHTOFF_D,"No longer displays the ""Insight Crystal Dust (Empty)"" screen after finishing a sidequest level.",,"Ya no muestra la pantalla de ""Polvo de cristal de conocimiento (vacío)"" luego de finalizar una misión secundaria.","Ya no muestra la pantalla de ""Polvo de cristal de conocimiento (vacío)"" luego de finalizar una misión secundaria.",Überspringt den Einsichts Screen beim beenden einer Nebenquest,,サイドクエストをクリアしたときに表示されるインサイト・クリスタルの粉(空)取得演出をスキップします。,,,,"Não mostra mais a tela com ""Pó de Cristal de Insight (Vazio)"" após terminar uma missão secundária.",,,,
SETTING_MISC_NOINTRO_T,Skip Intro,,Saltar Intro,Saltar Intro,Intro Überspringen,,ゲーム起動時のOPスキップ,,,,Pular Intro,,,,
SETTING_MISC_NOINTRO_D,"Never hear the fabled ""We're called neons."" speech when you start up your game.",,"No vuelvas a escuchar el diálogo de ""We're called neons."" cuando inicializas el juego.","No vuelvas a escuchar el diálogo de ""We're called neons."" cuando inicializas el juego.",Überspringe des Intro beim hochfahren :(,,ゲーム起動時の爆音オープニング映像をスキップします。<br>※直訳：「We're called Neons」という伝説的な言葉を聞く必要がなくなります！,,,,,,,,
SETTING_MISC_GHOSTDIR_T,Open Ghost Directory Button,,,,Ghost Ordner,,プレイヤーゴースト保存フォルダ表示ボタン,,,,Botão de Abrir Diretório de Fantasmas,,,,
SETTING_MISC_GHOSTDIR_D,Adds a button to access the ghost directory of the selected/current level.,,,,"Zeige eine Knopf an, der dich zum Ghost Ordner bringt",,レベル選択画面/選択した各レベル内で、プレイヤーゴースト保存フォルダを表示するボタンを追加します。,,,,Adiciona um botão para acessar o diretório de fantasmas do nível selecionado/atual.,,,,
SETTING_DISCORD,Discord,,,,,,,,,,,,,,
SETTING_DISCORD_ENABLED_T,Discord Rich Presence,,Rich Presence en Discord,Rich Presence en Discord,Discord einbettung,,,,,,,,,,
SETTING_DISCORD_ENABLED_D,Enables the use of Discord Rich Presence.,,Activa el uso de estado de la actividad (Rich Presence) en Discord.,Activa el uso de estado de la actividad (Rich Presence) en Discord.,Schaltet die Discord Einbettung ein,,Neon Whiteプレイ中の情報をDiscordのプロフィールに表示します。,,,,,,,,
SETTING_DISCORD_MENUTITLE_T,Headline in menu,,Titular en Menú,Titular en Menú,Überschrift im Menü,,メニュー画面での表示(タイトル),,,,,,,,
SETTING_DISCORD_MENUDESC_T,Description in menu,,Descripción en Menú,Descripción en Menú,Beschreibung im Menü,,メニュー画面での表示(詳細),,,,Descrição no menu,,,,
SETTING_DISCORD_RUSHTITLE_T,Headline in level rush,,Titular en Carrera de Niveles,Titular en Carrera de Niveles,Überschrift im Level Rausch,,ラッシュモードプレイ中の表示(タイトル),,,,,,,,
SETTING_DISCORD_RUSHTITLE_D,"%t = Rush type, %i = Current level, %r = Remaining levels, %l = Level name",,"%t = Tipo de carrera, %i = Nivel Actual, %r = Niveles restantes, %l = Nombre del nivel","%t = Tipo de carrera, %i = Nivel Actual, %r = Niveles restantes, %l = Nombre del nivel","%t = Rausch Typ, %i = Level Anzahl, %r = Übrige Level, %l = Level Name",,"使用できる変数は次の通り。%t = ラッシュの名前, %i = 進行レベル数, %r = 合計レベル数, %l = レベル名",,,,,,,,
SETTING_DISCORD_RUSHDESC_T,Description in level rush,,Descripción en Carrera de Niveles,Descripción en Carrera de Niveles,Beschreibung im Levelrausch,,ラッシュモードの表示(詳細),,,,Descrição no modo corrida na fase,,,,
SETTING_DISCORD_RUSHDESC_D,Same as above.,,Igual que el superior.,Igual que el superior.,Dasselbe wie oben,,使用可能な変数は上と同じ。,,,,Mesmo que acima.,,,,
SETTING_DISCORD_LEVELTITLE_T,Headline in level,,Titular en nivel,Titular en nivel,Überschrift im Level,,レベルプレイ中の表示(タイトル),,,,,,,,
SETTING_DISCORD_LEVELTITLE_D,"%l = Level name, %p = Personal best, %r = Session attempts, %t = Total attempts",,"%l = Nombre del nivel, %p = Record personal, %r = Intentos de la sesión, %t = Intentos totales","%l = Nombre del nivel, %p = Record personal, %r = Intentos de la sesión, %t = Intentos totales","%l = Level Name, %p = Bestzeit, %r = Sitzungsversuche, %t = Totale Versuche",,"%l = レベル名, %p = 自己ベスト, %r = Neon White起動中のプレイ回数, %t = 合計プレイ回数",,,,,,,,
SETTING_DISCORD_LEVELDESC_T,Description in level,,Descripción en nivel,Descripción en nivel,Beschreibung im Levelrausch,,レベルプレイ中の表示(詳細),,,,Descrição na fase,,,,
SETTING_DISCORD_LEVELDESC_D,Same as above.,,Igual que el superior.,Igual que el superior.,Dasselbe wie oben,,使用可能な変数は上と同じ。,,,,Mesmo que acima.,,,,
SETTING_DISCORD_SESHTIMER_T,Show session timer,,Mostrar temporizador de la sesión.,Mostrar temporizador de la sesión.,Zeigt den Sitzungstimer an,,Neon White起動時間/レベルのプレイ時間の表示切り替え,,,,Mostrar cronômetro da sessão,,,,
SETTING_DISCORD_SESHTIMER_D,Show a total session timer instead of a level/rush session timer.,,Mostrar un temporizador de la sesión en lugar del temporizador del nivel/carrera.,Mostrar un temporizador de la sesión en lugar del temporizador del nivel/carrera.,Zeige einen Sitzungstimer statt dem Level/ Rausch Timer,,チェックを付けると、Neon White起動時間を表示します。チェックを外すと、各レベル/ラッシュのプレイ時間を表示します。,,,,,,,,
SETTING_CARDS,Cards,,Cartas,Cartas,Karten,,ソウルカード,,Karty,,Cartas,,,,
SETTING_CARDS_ENABLED_T,Card Customizations,,Customización de Cartas,Customización de Cartas,Selbstbestimte Karten,,ソウルカードテキストのカスタマイズ,,Kastomizacja kart,,Customizações de Cartas,,,,
