identifier,text,fr,es-ES,es-419,de,it,ja,ko,pl,pt-PT,pt-BR,ru,tr,zh-CN,zh-TW
SETTING_CARDS_ENABLED_D,Lets you customize the text on each card. Changes require full level restart.,,Permite customizar el texto en cada carta. Los cambios requieren reiniciar el nivel.,Permite customizar el texto en cada carta. Los cambios requieren reiniciar el nivel.,Erlaubt dir die Namen von deinen Karten selber festzulegen,,各ソウルカードのテキストをカスタマイズします。<br>※レベルプレイ中に設定した場合、メニューに一度戻る必要があります。,,Pozwala ci kastomizować tekst na każdej karcie. Zmiany wymagają restartu poziomu.,,Te deia customizar o texto em cada carta. Reinicie a fase pra ver mudanças.,,,,
SETTING_CARDS_ELEVATE_T,Elevate Text,,Texto Elevación,Texto Elevación,Erhöhen Text,,エレベイト(Elevate),,,,Texto da Elevação,,,,
SETTING_CARDS_PURIFY_T,Purify Text,,Texto Purificación,Texto Purificación,Läuterungsbomben Text,,ピュリファイ(Purify),,,,Texto da Purificação,,,,
SETTING_CARDS_GODSPEED_T,Godspeed Text,,Texto Celeridad,Texto Celeridad,Viel Erfolg Text,,ゴッドスピード(Godspeed),,,,Texto da Vá com Deus,,,,
SETTING_CARDS_STOMP_T,Stomp Text,,Texto Pisotón,Texto Pisotón,Stampfen Text,,ストンプ(Stomp),,,,Texto da Pisão,,,,
SETTING_CARDS_FIREBALL_T,Fireball Text,,Texto Bola de Fuego,Texto Bola de Fuego,Feuerball Text,,ファイアボール(Fireball),,,,Texto da Bola de Fogo,,,,
SETTING_CARDS_DOMINION_T,Dominion Text,,Texto Dominio,Texto Dominio,Herrschaft Text,,ドミニオン(Dominion),,,,Texto da Domínio,,,,
SETTING_CARDS_BOOF_T,Book of Life Text,,Texto Libro de la Vida,Texto Libro de la Vida,Buch des Lebens Text,,命の書のページ(Book of Life),,,,Texto do Livro da Vida,,,,
SETTING_CARDS_AMMO_T,Ammo Text,,Texto Munición,Texto Munición,Munition Text,,弾薬(Ammo),,,,Texto da Munição,,,,
SETTING_CARDS_HEALTH_T,Health Text,,Texto Salud,Texto Salud,Gesundheit Text,,ヘルス(Health),,,,Texto da Vida,,,,
SETTING_CROSSHAIR,Crosshair,,Mira,Mira,Fadenkreuz,,クロスヘア,,Celownik,,Mira,,,,
SETTING_CROSSHAIR_ENABLED_T,Crosshair Colors,,Color de Mira,Color de Mira,Fadenkreuz Farbe,,クロスヘアの色,,Kolory celownika,,Cores da Mira,,,,
SETTING_CROSSHAIR_ENABLED_D,Enables setting custom crosshair colors.,,Activa configuración personalizada de colores de mira.,Activa configuración personalizada de colores de mira.,Schalten selbstbestimmte Farbenkreuz Farben ein,,クロスヘアの色をカスタマイズします。,,Włącza ustawienia własnego koloru celownika.,,,,,,
SETTING_CROSSHAIR_MAIN_T,Main Color,,Color Principal,Color Principal,Hauptfarbe,,メインカラー,,Główny kolor,,Cor Principal,,,,
SETTING_CROSSHAIR_OVERHEAT_T,Overheat,,Heágono,Heágono,Überhitzung,,オーバーヒート,,Przegrzanie,,Superaquecimento,,,,
SETTING_CROSSHAIR_OVERHEAT_D,Purify/stomp/fireball heagon,,Heágono de Purificación/Pisotón/Bola de Fuego,Heágono de Purificación/Pisotón/Bola de Fuego,Leuterung/ Stampfen/ Feuerball Heagon,,ピュリファイ/ストンプ/ファイアボールの六角形,,Heksagon oczyszczenia/stąpniecia/kuli ognia,,Heágono da purificação/pisão/bola de fogo,,,,
SETTING_CROSSHAIR_ZIPINNER_T,Inner Zipline Heagon,,Heágono Interior de Tirolesa,Heágono Interior de Tirolesa,Inneres Seilrutschen Heagon,,ドミニオンの六角形(内側),,Wewnętrzny heksagon kotwiczki,,Heágono de Tirolesa Interno,,,,
SETTING_CROSSHAIR_ZIPINNER_D,Requires level restart.,,Requiere reiniciar el nivel.,Requiere reiniciar el nivel.,Benötigt Level Neustart,,適用にはレベルのリスタートが必要です。,,Wymaga resetartu poziomu.,,Requer reiniciar a fase.,,,,
SETTING_CROSSHAIR_ZIPOUTER_T,Outer Zipline Heagon,,Heágono Eterior de Tirolesa,Heágono Eterior de Tirolesa,Äußere Seilrutschen Heagon,,ドミニオンの六角形(外側),,Zewnętrzny heksagon kotwiczki,,Heágono de Tirolesa Eterno,,,,
SETTING_CROSSHAIR_ZIPOUTER_D,Requires level restart.,,Requiere reiniciar el nivel.,Requiere reiniciar el nivel.,Benötigt Level Neustart,,適用にはレベルのリスタートが必要です。,,Wymaga resetartu poziomu.,,Requer reiniciar a fase.,,,,
SETTING_CROSSHAIR_ZIPLOCKED_T,Locked On Zipline Color,,Color en el Punto de Mira de Tirolesa,Color en el Punto de Mira de Tirolesa,Anvisierte Seilrutsche Farbe,,ドミニオンのジップラインが有効射程内の時,,Kolor namierzenia kotwiczki,,,,,,
SETTING_CROSSHAIR_ZIPLOCKED_D,Requires level restart.,,Requiere reiniciar el nivel.,Requiere reiniciar el nivel.,Benötigt Level Neustart,,適用にはレベルのリスタートが必要です。,,Wymaga resetartu poziomu.,,Requer reiniciar a fase.,,,,
SETTING_CROSSHAIR_TELEON_T,Book of Life Active,,Libro de Vida Activo,Libro de Vida Activo,Buch des Lebens aktiviert,,命の書のページ(Book of Life)アクティブ時,,Aktywna boska księga życia,,Livro da Vida Ativo,,,,
SETTING_CROSSHAIR_TELEOFF_T,Book of Life Inactive,,Libro de Vida Inactivo,Libro de Vida Inactivo,Buch des Lebens inaktiv,,命の書のページ(Book of Life)非アクティブ時,,,,Livro da Vida Inativo,,,,
SETTING_SPEEDOMETER,Speedometer,,,,Tacho,,スピードメーター,,,,Velocímetro,,,,
SETTING_SPEEDOMETER_ENABLED_T,Speedometer,,,,Tacho,,スピードメーター,,,,Velocímetro,,,,
SETTING_SPEEDOMETER_ENABLED_D,Enables displaying additional information about the player.,,,,Zeigt zusätliche Informationen über den Spieler an,,プレイヤーに関する追加情報の表示を有効にします。,,,,Habilita mostrar informações adicionais sobre a/o jogador(a).,,,,
SETTING_SPEEDOMETER_ALPHA_T,Opacity,,,,Durchsichtbarkeit,,不透明度,,,,Opacidade,,,,
SETTING_SPEEDOMETER_SCALE_T,Scale,,,,Größe,,スピードメーターの大きさ,,,,Escala,,,,
SETTING_SPEEDOMETER_X_T,X Position,,,,,,スピードメーターの位置(X軸・横方向),,,,Posição X,,,,
SETTING_SPEEDOMETER_Y_T,Y Position,,,,,,スピードメーターの位置(Y軸・縦方向),,,,Posição Y,,,,
SETTING_SPEEDOMETER_FLATCOLOR_T,Text color (Default),,,,Text Farbe (Standard),,テキストカラー(デフォルト),,,,Cor do texto (padrão),,,,
SETTING_SPEEDOMETER_DASHCOLOR_T,Text color (Dashing),,,,Text Farbe (Dash),,テキストカラー(ダッシュ時),,,,Cor do texto (sprint),,,,
SETTING_SPEEDOMETER_FASTCOLOR_T,Text color (Fast),,,,Text Farbe (Schnell),,テキストカラー(速い時),,,,Cor do texto (rápido),,,,
SETTING_SPEEDOMETER_SLOWCOLOR_T,Text color (Slow),,,,Text Farbe (Langsam),,テキストカラー(遅い時),,,,Cor do texto (lento),,,,
SETTING_SPEEDOMETER_OLDSTYLE_T,Use Arial Font,,,,Benutze Ariel,,Arielフォントの使用,,,,Usar Fonte Arial,,,,
SETTING_SPEEDOMETER_OLDSTYLE_D,Enable to somewhat replicate how it looks in PuppyPowertools.,,,,Sieht ähnlich aus zu PuppyPowerTools,,Arielフォントを使用することで、PuppyPowertools(別MOD)の見た目に近づけます。,,,,Habilite para replicar mais-ou-menos a aparência dele no PuppyPowertools.,,,,
SETTING_SPEEDOMETER_MINIMAL_T,Minimal,,,,,,最小表示,,,,Mínimo,,,,
SETTING_SPEEDOMETER_MINIMAL_D,Gets rid of most text and only show numbers.,,,,Entfernt den meisten Text,,各パラメータを数字のみ表示します。,,,,Tira a maioria do texto e só mostra números.,,,,
SETTING_SPEEDOMETER_POSITION_T,Show Position,,,,Zeige deine Position an,,位置情報の表示(Position),,,,Mostrar Posição,,,,
SETTING_SPEEDOMETER_ROTATION_T,Show Rotation,,,,Zeige deine Rotation an,,カメラの向きの表示(Rotation),,,,Mostrar Rotação,,,,
SETTING_SPEEDOMETER_RAWVEL_T,Show Full Velocity,,,,Zeige deine gesamte Geschwindigkeit an,,"詳細な速度メーターの表示(左右, 縦 , 前後)",,,,Mostrar Velocidade Completa,,,,
SETTING_SPEEDOMETER_LATERAL_T,Show Lateral Velocity,,,,Zeige deine vorwärts Geschwindigkeit an,,横方向の速度メーターの表示(Lateral:),,,,Mostrar Velocidade Lateral,,,,
SETTING_SPEEDOMETER_YVEL_T,Show Vertical Velocity,,,,Zeige deine verticale Geschwindigkeit an,,縦方向の速度メーターの表示(Y: ),,,,Mostrar Velocidade Vertical,,,,
SETTING_SPEEDOMETER_SWAPTIMER_T,Show Swap Timer,,,,Zeige den Karten Tausch Timer an,,スワップタイマーの表示(Swap Timer),,,,Mostrar Cronômetro de Troca,,,,
SETTING_SPEEDOMETER_COYOTETIMER_T,Show Coyote Timer,,,,Zeige den Coyote Timer an,,コヨーテタイマーの表示(Coyote Timer),,,,Mostrar Cronômetro de Coiote,,,,
SETTING_UI,UI,,IU ,IU ,,,,,Interfejs użytkownika/W grze,,,,,,
SETTING_UI_SHOWMS_T,Show full milliseconds in-game,,Mostrar milisegundos completos dentro del juego,Mostrar milisegundos completos dentro del juego,Millisekunden,,完全なミリ秒の表示(レベルプレイ画面),,Pokaż pełne milisekundy w grze,,,,,,
SETTING_UI_SHOWMS_D,Show all 3 digits of milliseconds for the timer and finish.,,Mostrar los 3 dígitos de milisegundos para el reloj y el final.,Mostrar los 3 dígitos de milisegundos para el reloj y el final.,Zeigt alle 3 Ziffern für Zeiten an,,レベルをプレイしているとき、画面中央上のタイマーを小数点第3位まで表示する。,,Pokaż wszystkie 3 cyfry milisekund licznika czasu i czasu zakończenia.,,,,,,
SETTING_UI_SHOWMORE_T,Show full milliseconds everywhere,,Mostrar milisegundos completos en todos lados,Mostrar milisegundos completos en todos lados,Millisekunden - Menu,,完全なミリ秒の表示(その他画面),,Pokaż wszędzie pełne milisekundy ,,,,,,
SETTING_UI_SHOWMORE_D,Show all 3 digits of milliseconds everywhere applicable.,,Mostrar los 3 dígitos de milisegundos en todos los lugares aplicables.,Mostrar los 3 dígitos de milisegundos en todos los lugares aplicables.,Zeigt alle 3 Ziffern von deinen Zeiten überall an,,ゲーム内でタイムが記載されている場所は全て小数点第3位まで表示する。,,"Pokaż wszystkie 3 cyfry milisekund wszędzie tam, gdzie mają zastosowanie.",,,,,,
SETTING_UI_NOGREEN_T,Begone Apocalypse,,Vete Apocalipsis,Vete Apocalipsis,Schalte die Apocalypse aus,,黙示録の削除,,Koniec z Apokalipsą ,,,,,,
SETTING_UI_NOGREEN_D,Get rid of the Apocalyptic view and replace it with the blue skies.,,Deshazte de la vista apocalíptica y reemplazala con el cielo azul.,Deshazte de la vista apocalíptica y reemplazala con el cielo azul.,Ersetzt durch einen blauen Himmel,,直訳：黙示録的な視点を取り除き、青空に置き換えます。,,Pozbądź się widoku apokaliptycznego i zastąp go błękitnym niebem.,,,,,,
SETTING_UI_NOMISSION_T,Remove Start Mission Button,,Quitar Botón de Iniciar Misión,Quitar Botón de Iniciar Misión,Mission Beginnen,,「ミッションを開始」ボタンの非表示,,Usuń przycisk Wyboru Misji,,Remover Botão de Iniciar Missão,,,,
SETTING_UI_NOMISSION_D,"Sick and tired of the big, bulky ""Start Mission"" button that appears? Now you can get rid of it, forever!",,"¿Cansad@ del gigante botón de ""Iniciar Misión"" que aparece? Ahora te puedes deshacer de él, ¡para siempre!","¿Cansad@ del gigante botón de ""Iniciar Misión"" que aparece? Ahora te puedes deshacer de él, ¡para siempre!","Schaltet den ""Mission Beginnen"" Knopf aus",,天国の門で「ミッション開始」ボタンがあることにうんざりしていませんか？これで、永久にそれを取り除くことができます！,,Masz dość dużego i nieporęcznego przycisku Wybo,,"Cansou do botão grandão ""Iniciar Missão"" que aparece? Agora você pode se livrar dele, pra sempre!",,,,
SETTING_UI_NOCRT_T,Disable CRT in menus,,Desactivar TRC en menús,Desactivar TRC en menús,CRT Effekt,,CRTエフェクトの無効化,,,,Desabilitar CRT em menus,,,,
SETTING_UI_NOCRT_D,Disables the CRT-like effect in menus.,,Desactiva los efectos de TRC en menús.,Desactiva los efectos de TRC en menús.,Schaltet den CRT Effekt aus,,ゲーム内の全てでCRT効果(ブラウン管テレビのような表示)を無効にします。,,,,Desabilita o efeito de TV CRT em menus.,,,,
SETTING_UI_ENDING_T,Custom ending image,,,,,,エンディング画面の画像のカスタマイズ,,,,,,,,
SETTING_UI_ENDING_D,Set a custom in-game ending image of White by entering the path to a local image.<br>Make sure to remove quotes!,,,,,,ローカル画像 (サイズは) のパスを入力して、レベルクリア/ラッシュクリア時に表示される画像をネオン・ホワイトから任意の画像に変更します。<br>※パスに半角のダブルクォーテーション(”)を使用しないでください。,,,,,,,,
SETTING_UI_LOADINGICON_T,Custom Loading Icon,,,,,,ローディング画面のアイコンのカスタマイズ,,,,,,,,
SETTING_UI_LOADINGICON_D,Set a custom loading icon relacing Mikey by entering the path to a local image.<br>Make sure to remove quotes!,,,,,,ローカル画像 (サイズは) のパスを入力して、ローディング画面のマイキーから好きな画像に変更します。<br>※パスには半角のダブルクォーテーション(”)を使用しないでください。,,,,,,,,
SETTING_UIINGAME,UI/In-game,,IU/En el juego,IU/En el juego,UI Overlay,,UI/プレイ画面,,Interfejs użytkownika/W grze,,,,,,
SETTING_UIINGAME_PORTRAIT_T,Custom portrait,,Retrato personalizado,Retrato personalizado,Spieler Portrait,,カスタムポートレート,,Niestandarowy portret,,,,,,
SETTING_UIINGAME_PORTRAIT_D,Set a custom in-game portrait by entering the path to a local image.<br>Make sure to remove quotes!,,Coloca un retrato customizado en el juego al ingresar la ruta a una imágen local<br>¡Asegúrate de borrar las comillas!,Coloca un retrato customizado en el juego al ingresar la ruta a una imágen local<br>¡Asegúrate de borrar las comillas!,Setzte ein eigenes Spieler Portrait <br> Kopiere den Dateipfad ohne Anführungszeichen,,ローカル画像 (サイズは) のパスを入力して、レベル内で左下に表示されるポートレートをネオン・ホワイトから任意の画像に変更します。<br>※パスには半角のダブルクォーテーション(”)を使用しないでください。,,"Ustaw niestandardowy portret w grze, wprowadzając ścieżkę do lokalnego obrazu.<br>Pamiętaj o usunięciu cudzysłowów!",,,,,,
SETTING_UIINGAME_DELTATIME_T,Deltatime,,Tiempo Delta,Tiempo Delta,Deltazeit,,デルタタイム(Deltatime),,Czas delty,,,,,,
SETTING_UIINGAME_DELTATIME_D,Displays a time comparing to your last personal best.,,Muestra un tiempo comparando a tu récord personal,Muestra un tiempo comparando a tu récord personal,Zeigt einen vergleich zu deiner besten Zeit an,,レベルクリア時に自己ベストとクリアタイムにどれだけ差があるか表示します,,Wyświetla czas w porównaniu do twojego poprzedniego najlepszego czasu.,,,,,,
SETTING_UIINGAME_DNF_T,Show DNFs,,Mostrar DNFs,Mostrar DNFs,DNF,,DNF(Did Not Finish)タイムの表示,,Pokaż DNFy,,Mostrar DNFs,,,,
SETTING_UIINGAME_DNF_D,Shows the time you would have got if you had killed all the demons in a level.,,Muestra el tiempo que hubieras obtenido si hubieras matado a todos los demonios en un nivel.,Muestra el tiempo que hubieras obtenido si hubieras matado a todos los demonios en un nivel.,"Zeige die Zeit an, wenn du alle Dämonen umgebracht hättest",,レベル内でデーモンを全て倒さずゴールに触れたとき、タイムを表示します。,,"Pokazuje czas, który byś zdobył po zabiciu każego demona w poziomie.",,Mostra o tempo que você teria obtido se tivesse matado todos os demônios numa fase.,,,,
SETTING_UIINGAME_DNFSOUND_T,DNF Sound FX,,,,,,DNFサウンド設定,,,,,,,,
SETTING_UIINGAME_DNFSOUND_D,The sound to play when you DNF.<br>Blank to disable.,,,,,,DNF 時に再生されるサウンドの設定。<br>無効にする場合は空白にしてください。,,,,,,,,
SETTING_UIINGAME_DNFRESET_T,Reset DNF Time on Enemy Death,,,,,,,,,,,,,,
SETTING_UIINGAME_TIMERCOLOR_T,In-game Timer Color,,Color del reloj del Juego,Color del reloj del Juego,Timer Farbe,,レベル内タイマーの色,,Kolor licznika czasu w grze,,Cor do Cronômetro no Jogo,,,,
SETTING_UIINGAME_TIMERCOLOR_D,Set alpha to 0 to disable.,,Coloca alpha en 0 para desactivarlo.,Coloca alpha en 0 para desactivarlo.,Setze Alpha auf 0 um auszuschalten,,A(Alpha)値を0にするとタイマーが透明になります。,,Ustaw alfe na 0 aby wyłączyć.,,Deie o alfa em 0 para desabilitar.,,,,
SETTING_UIINGAME_GREENHP_T,Show Neon Green's HP,,Mostrar PV de Neon Green,Mostrar PV de Neon Green,Neon Greens Leben,,ネオン・グリーンの残り体力表示,,Pokaż punkty zdrowia Neon Green'a,,Mostrar PV do Neon Green,,,,
SETTING_UIINGAME_GREENHP_D,Displays the HP of Neon Green in text form.,,Muestra los puntos de vida de Neon Green en texto.,Muestra los puntos de vida de Neon Green en texto.,Zeigt Neon Green genaues Leben an,,ネオン・グリーンの残り体力をテキストで表示します。,,Wyświetla punkty zdrowia Neon Green'a w formie tekstu.,,Mostra os pontos de vida do Neon Green em forma de texto.,,,,
SETTING_UIINGAME_NOPORTRAIT_T,Disable player portrait,,Desactivar retrato del jugador,Desactivar retrato del jugador,Spieler Portrait,,プレイヤーポートレートの非表示,,Wyłacz portret gracza,,,,,,
SETTING_UIINGAME_NOPORTRAIT_D,Disables the bottom-left player portrait.,,Desactiva el retrato del jugador del etremo inferior izquierdo.,Desactiva el retrato del jugador del etremo inferior izquierdo.,Schaltet das Spieler Portrait unten links aus,,レベル内で左下に表示されるネオン・ホワイトを非表示にします。,,Wyłącza portret gracza w lewym-dolnym rogu.,,,,,,
SETTING_UIINGAME_NOBACKSTORY_T,Disable player backstory,,Desactivar trasfondo del jugador,Desactivar trasfondo del jugador,Spieler Geschichte,,プレイヤーバックストーリーの非表示,,Wyłącz historie gracza,,,,,,
SETTING_UIINGAME_NOBACKSTORY_D,Disables the bottom-left player backstory.,,Desactiva el transfondo del jugador del etremo inferior izquierdo.,Desactiva el transfondo del jugador del etremo inferior izquierdo.,Schaltet die Spieler Geschichte unten links aus,,レベル内で左下に表示されるネオン・ホワイトの情報テキスト画像を非表示にします。,,Wyłącza historie gracza w lewym-dolnym rogu.,,,,,,
SETTING_UIINGAME_NOFLAMES_T,Disable bottom bar,,Desactivar barra inferior,Desactivar barra inferior,Feuer Balken,,画面下のバーを非表示,,Wyłącz dolny pasek,,,,,,
SETTING_UIINGAME_NOFLAMES_D,Disables the bottom flames.,,Desactiva las llamas inferiores.,Desactiva las llamas inferiores.,Schaltet den Feuer Balken unten aus,,レベル内で画面下に表示される灰色の炎を非表示にします。,,Wyłącza płomienie na dole.,,,,,,
SETTING_UIINGAME_NOWARNING_T,Disable low HP overlay,,Desactivar capa de bajo PV,Desactivar capa de bajo PV,Niedrige Leben Overlay,,低体力時の画面エフェクトの非表示,,Wyłacz powiadomienie o niskim HP,,,,,,
SETTING_UIINGAME_NOWARNING_D,Disables the red overlay for low HP.,,Desactiva la capa roja por bajos puntos de vida.,Desactiva la capa roja por bajos puntos de vida.,Schaltet das niedrige Leben Overlay aus,,ネオン・ホワイトの体力が残り1の時に画面の端が赤くなる効果を非表示にします。,,Wyłącza powiadomienie o niskim HP.,,,,,,
SETTING_UIINFO,UI/Info,,IU/Información,IU/Información,UI/ Informationen,,,,Interfejs użytkownika/Informacje,,,,,,
SETTING_UIINFO_ENABLED_T,Enable Game Info,,Activar Información del Juego,Activar Información del Juego,Level Info,,Game Infoの表示,,Włącz informacje w grze,,,,,,
SETTING_UIINFO_ENABLED_D,Enables additional information about the game and current level in the top left.,,Activa información adicional sobre el juego y el nivel actual en la esquina superior izquierda.,Activa información adicional sobre el juego y el nivel actual en la esquina superior izquierda.,Schalte zusätzliche Informationen zum Spiel und aktuellen Level oben links an ,,ゲームとプレイ中のレベルに関する追加情報を画面左上に表示する設定を有効化します。,,Włącza dodatkowe informacje o grze oraz obecnym poziomie w lewym górnym rogu.,,,,,,
SETTING_UIINFO_ALPHA_T,Opacity,,Opacidad,Opacidad,Durchsichtbarkeit,,透明度,,Przezroczystość,,Opacidade,,,,
SETTING_UIINFO_SCALE_T,Scale,,Tamaño,Tamaño,Größe,,サイズ,,Skala,,Escala,,,,
SETTING_UIINFO_SESHTIMER_T,Session Timer,,Temporizador de Sesión,Temporizador de Sesión,Sitzungs Timer,,セッションタイマー(Session Timer),,Czas sesji,,Cronômetro da Sessão,,,,
SETTING_UIINFO_SESHTIMER_D,Shows how long the game's been open for.,,Muestra por cuanto tiempo el juego ha estado abierto.,Muestra por cuanto tiempo el juego ha estado abierto.,"Zeigt an, wie lange das Spiel offen ist",,ゲームを起動している時間を表示します。<br>※ゲームを起動している状態のことを「Session」と定義しています。,,Pokazuje jak długo jest otwarta gra.,,Mostra há quanto tempo o jogo está aberto.,,,,
SETTING_UIINFO_LEVELTIMER_T,Level Timer,,Temporizador de Nivel,Temporizador de Nivel,,,レベルタイマー(Level Timer),,Czas na poziomie,,Cronômetro da Fase,,,,
SETTING_UIINFO_LEVELTIMER_D,Shows how long you've been on this stage.,,Muestra por cuanto tiempo has jugado este nivel.,Muestra por cuanto tiempo has jugado este nivel.,"Zeigt an, wie lange man in einem Level ist",,プレイ中のレベルをどれくらいの時間遊んでいるかを示します。,,Pokazuje jak długo grasz obecny poziom.,,Mostra há quanto tempo você está nesta fase.,,,,
SETTING_UIINFO_SESHPB_T,SessionPB,,PB de Sesión,PB de Sesión,Sitzungs PB,,セッション自己ベスト(SessionPB),,,,,,,,
SETTING_UIINFO_SESHPB_D,Shows the best time you got for a level in this session.,,Muestra el mejor tiempo que has obtenido en el nivel en la sesión actual.,Muestra el mejor tiempo que has obtenido en el nivel en la sesión actual.,Zeigt die beste Zeit dieser SItzung an,,ゲーム起動中(Session)に、プレイ中のレベルで得た自己ベストタイムを表示します。ゲームを再起動すると、この記録は失われます。<br>※PBはPersonal Bestの略,,Pokazuje najlepszy czas zdobyty poczas sesji.,,Mostra o melhor tempo que você obteve numa fase nesta sessão.,,,,
SETTING_UIINFO_TOTALATTEMPTS_T,Show Total Restarts,,Mostrar Intentos Totales,Mostrar Intentos Totales,Gesamte Versuche,,合計リスタート回数(Total Attempts)の表示,,Łączna ilość resetów,,,,,,
SETTING_UIINFO_TOTALATTEMPTS_D,Shows how many attempts you've made for this stage.,,Muestra cuantos intentos has realizado en este nivel.,Muestra cuantos intentos has realizado en este nivel.,"Zeigt an, wie oft man insgesamt ein Level versucht hat",,プレイ中のレベルを今まで何回プレイしたか表示します。,,Pokazuje ile resetów zrobiłeś na tym poziomie.,,Mostra quantas tentativas você fez nesta fase.,,,,
SETTING_UIINFO_SESHATTEMPTS_T,Show Session Restarts,,Mostrar Intentos de Sesión,Mostrar Intentos de Sesión,Sitzungs Versuche,,ゲーム起動中のリスタート回数(Attempts)の表示,,Ilość resetów na sesji,,,,,,
SETTING_UIINFO_SESHATTEMPTS_D,Shows how many attempts you've made for this stage this session.,,Muestra cuantos intentos has realizado en este nivel esta sesión.,Muestra cuantos intentos has realizado en este nivel esta sesión.,Zeigt an wie viele mal man in dieser Sitzung ein Level neu versucht hat,,ゲーム起動中に、プレイ中のレベルを何回プレイしたか表示します。<br>※ゲームを再起動すると、カウントはリセットされます。,,Pokazuje ile resetów zrobiłeś na tym poziomie podczas obecnej sesji.,,Mostra quantas tentativas você fez nesta fase nesta sessão.,,,,
SETTING_UIINFO_SHOWCOMPLETED_T,Show # of Finishes,,Mostrar # de Finalizaciones,Mostrar # de Finalizaciones,Zeigt die # der beendeten Versuche an,,ゲーム起動中のレベルクリア回数の表示,,Pokaż # ukończeń,,,,,,
SETTING_UIINFO_SHOWCOMPLETED_D,Additionally shows the amount of completed finishes on the session attempts.,,Muestra adicionalmente la cantidad de finalizaciones en los intentos de la sesión.,Muestra adicionalmente la cantidad de finalizaciones en los intentos de la sesión.,Zeigt die Anzahl der vollendeten Versuche dieser Sitzung an,,ゲーム起動中にプレイ中のレベルを何回クリアしたか表示します。<br>※ゲームを再起動すると、カウントはリセットされます。,,Dodatkowo pokazuje ilość ukończeń poziomu na obecnej sesji.,,,,,,
M_SIDEQUESTS_RED,Red's Sidequests,,,,,,,,,,,,,,
M_SIDEQUESTS_VIOLET,Violet's Sidequests,,,,,,,,,,,,,,
M_SIDEQUESTS_YELLOW,Yellow's Sidequests,,,,,,,,,,,,,,
M_SIDEQUESTS_GREEN,Green's Sidequests,,,,,,,,,,,,,,
